text_id,text,sentences,label
7043,Операторів 12. А фотографів 6. З них пів дня працював 1. Після 14.00 - 3. після отримання номера ел черги чекав 2 години на чергу до оператора. А потім ще 3 години черга до фотографа. Але все прозоро. Все чітко по черзі,"[""Операторів 12."", ""А фотографів 6."", ""З них пів дня працював 1."", ""Після 14.00 - 3. після отримання номера ел черги чекав 2 години на чергу до оператора."", ""А потім ще 3 години черга до фотографа."", ""Але все прозоро."", ""Все чітко по черзі""]",Complaint / Dissatisfaction
9294,"Чернігівська область, м. Мена, вул. Сіверський шлях, буд. 146. Менський районний суд Чернігівської області","[""Чернігівська область, м. Мена, вул. Сіверський шлях, буд. 146."", ""Менський районний суд Чернігівської області""]",Neutral Comment
3825,"Напевно, був би кращім місцем, якби не було коррупції на кожному кроці. Стикнулася с сц, коли здавала на права. Здала сама і нас таких не було навіть третини з групи, бо усі знають, що треба відвалити кілька тисяч, щоб дядька закрив очі на…","[""Напевно, був би кращім місцем, якби не було коррупції на кожному кроці."", ""Стикнулася с сц, коли здавала на права."", ""Здала сама і нас таких не було навіть третини з групи, бо усі знають, що треба відвалити кілька тисяч, щоб дядька закрив очі на…""]",Complaint / Dissatisfaction
925,"Щоб там щодня, крім вихідних. Нічого особливого там немає. Так, кафе є. Можна перекусити та попити каву. Піст ДАІ як пост ДАІ.","[""Щоб там щодня, крім вихідних."", ""Нічого особливого там немає."", ""Так, кафе є."", ""Можна перекусити та попити каву."", ""Піст ДАІ як пост ДАІ.""]",Neutral Comment
10001377,Тільки в епіцентрі працює? А в леруа мерлен наприклад ні?,"[""Тільки в епіцентрі працює?"", ""А в леруа мерлен наприклад ні?""]",Question / Request for Help
1600,"Реєстрація ФОП покроково з врахуванням нововведень Отже, Ви вирішили змінити свою долю, працювати тільки на себе і хочете стати…","[""Реєстрація ФОП покроково з врахуванням нововведень Отже, Ви вирішили змінити свою долю, працювати тільки на себе і хочете стати…""]",Neutral Comment
16151,Навчальний заклад розташований в найголовнішій історичній пам'ятці міста Резиденції митрополитів Буковини і Далмації.,"[""Навчальний заклад розташований в найголовнішій історичній пам'ятці міста Резиденції митрополитів Буковини і Далмації.""]",Neutral Comment
1871,"Це незвичайний навчальний заклад. Якщо шукаєте, де здобувати вищу освіту, дізнайтеся більше.","[""Це незвичайний навчальний заклад."", ""Якщо шукаєте, де здобувати вищу освіту, дізнайтеся більше.""]",Suggestion / Idea
4358,"Харківський університет називають каразінським! Як вам таке, ілонмаску?","[""Харківський університет називають каразінським!"", ""Як вам таке, ілонмаску?""]",Neutral Comment
16189,"Як в живу, як на фото, дуже гарно виглядає, сюди хочеться повертатися знову і знову, як і у саме місто","[""Як в живу, як на фото, дуже гарно виглядає, сюди хочеться повертатися знову і знову, як і у саме місто""]",Gratitude / Positive Feedback
10695,"Якщо ми хочемо , щоб у нас піднявся рівень відвідування закладів подібного типу, тв щоб наші діти хотіли читати саме ту, справжню книгу, а не шукали альтернаву, там де доступно і без перешкод, необхідно кардинально міняти підхід до…","[""Якщо ми хочемо , щоб у нас піднявся рівень відвідування закладів подібного типу, тв щоб наші діти хотіли читати саме ту, справжню книгу, а не шукали альтернаву, там де доступно і без перешкод, необхідно кардинально міняти підхід до…""]",Suggestion / Idea
11219,Звичайна міська школа. Є стадіон та дитячій майданчик.,"[""Звичайна міська школа."", ""Є стадіон та дитячій майданчик.""]",Neutral Comment
10004480,Було б чудово побачити хочаб один приклад перевірений незалежними журналістами наприклад BIHUS info,"[""Було б чудово побачити хочаб один приклад перевірений незалежними журналістами наприклад BIHUS info""]",Suggestion / Idea
7083,"Прийшов до Паспортного сервісу за 3 години до закриття у порядку живої черги, був у черзі 39, мені сказали, що швидше за все сьогодні не встигну оформити документи, підсумок о 17.45 усі питання вирішив.","[""Прийшов до Паспортного сервісу за 3 години до закриття у порядку живої черги, був у черзі 39, мені сказали, що швидше за все сьогодні не встигну оформити документи, підсумок о 17.45 усі питання вирішив.""]",Neutral Comment
8646,"На оформлення паспорту зробіть ще одне крісло, а то черга нереальна, коли в цей час інші спеціалісти сидять без роботи","[""На оформлення паспорту зробіть ще одне крісло, а то черга нереальна, коли в цей час інші спеціалісти сидять без роботи""]",Suggestion / Idea
11264,"Відвідувала донька цей садочок. Надзвичайно задоволені. Група ""Капітошка"", вихователь Тетяна Олександрівна- то любов на все життя, помічник вихователя теж має надзвичайно гарний підхід до діток. Завідуюча теж дуже приємна. Групи гарні,…","[""Відвідувала донька цей садочок."", ""Надзвичайно задоволені."", ""Група \""Капітошка\"", вихователь Тетяна Олександрівна- то любов на все життя, помічник вихователя теж має надзвичайно гарний підхід до діток."", ""Завідуюча теж дуже приємна."", ""Групи гарні,…""]",Gratitude / Positive Feedback
10000207,"Вадиме, опишіть, будь ласка, вашу ситуацію детальніше, це допоможе нам розібратися в питанні та надати вам усю необхідну та актуальну інформацію.","[""Вадиме, опишіть, будь ласка, вашу ситуацію детальніше, це допоможе нам розібратися в питанні та надати вам усю необхідну та актуальну інформацію.""]",Question / Request for Help
15045,Варто піднятися на гору. Кращі краєвиди ніж з Копця ;),"[""Варто піднятися на гору."", ""Кращі краєвиди ніж з Копця ;)""]",Suggestion / Idea
14942,"Звідси зверху відкривається чудовий краєвид на Львів, проте постарайтеся ходити сюди не у вихідні та не у святкові дні, бо дуже складно вузькими гвинтовими сходами підніматися і спускатися колись багато народу.","[""Звідси зверху відкривається чудовий краєвид на Львів, проте постарайтеся ходити сюди не у вихідні та не у святкові дні, бо дуже складно вузькими гвинтовими сходами підніматися і спускатися колись багато народу.""]",Suggestion / Idea
12979,Рекомендую юриста Олега Вікторовича по земельним питанням,"[""Рекомендую юриста Олега Вікторовича по земельним питанням""]",Suggestion / Idea
