text_id,text,field_type,span_text,start_char,end_char,normalized_value
10001201,"Цифрова держава Повідомлення 123 від 18.04.2023 року надіслано Згодом буде створено спеціальну комісію, яка оцінить збитки. Ми сповістимо вас про наступні кроки, коли буде визначено порядок та розпочато процес компенсації Разом до перемоги! Слава Україні! А далі буде?",DATE,18.04.2023,37,47,2023-04-18
10001201,"Цифрова держава Повідомлення 123 від 18.04.2023 року надіслано Згодом буде створено спеціальну комісію, яка оцінить збитки. Ми сповістимо вас про наступні кроки, коли буде визначено порядок та розпочато процес компенсації Разом до перемоги! Слава Україні! А далі буде?",DOC_ID,Повідомлення 123,16,32,123
7572,"Шановні працівники цього закладу. На якій підставі ви другий день приймаєте до 15:00 при графіку роботи до 18:00? Чекали 4 січня 2022 року щоб потрапити до вас, о 14.30 ви сказали все, не приймаємо. І 5 січня 2022 року та сама історія. У вас є новий графік роботи? Свавілля у чистому вигляді.",DATE,4 січня 2022,121,133,2022-01-04
7572,"Шановні працівники цього закладу. На якій підставі ви другий день приймаєте до 15:00 при графіку роботи до 18:00? Чекали 4 січня 2022 року щоб потрапити до вас, о 14.30 ви сказали все, не приймаємо. І 5 січня 2022 року та сама історія. У вас є новий графік роботи? Свавілля у чистому вигляді.",DATE,5 січня 2022,201,213,2022-01-05
1612,"податкова основянського району, години роботи актуальні на 26.03.2019 (для тих кому потрібно змінити код, або для дитини віконце № 7): -понеділок 9-12…",DATE,26.03.2019,59,69,2019-03-26
1612,"податкова основянського району, години роботи актуальні на 26.03.2019 (для тих кому потрібно змінити код, або для дитини віконце № 7): -понеділок 9-12…",DOC_ID,№ 7,129,132,7
7010,"Чи не сподобалося. Витрачений цілий день. А якщо враховувати, що подала документи 02.06.2017р. - сьогодні 10.07.2017 і я не отримала ще паспорт, то це свавілля. За що сплачено 400 грн. пишуть 20 р.д. і де ці 20. Зрозуміло, що людей багато, тоді треба попереджати, що паспорт буде через півтора місяці.",DATE,10.07.2017,106,116,2017-07-10
14048,"19 грудня 2024 року зверталася до сервісного центру 3248 для заміни техпаспорту автомобіля. Візитом задоволена, обслуговування пройшло точно згідно з електронним записом. Особливо вдячна Кравченко Аллі за професіоналізм і доброзичливість. 19. 12.24 р. Ємчук Ірина. ( пенсіонер, інвалід 2 групи)",DATE,19 грудня 2024,0,14,2024-12-19
1578,"Центр обслуговування платників податків Слобідського (як і Основ'янського) наразі (з 1 травня 2019р.) знаходиться за адресою вул. Бекетова, 1. Для тих, хто не користується онлайн-картами у смартфонах: це метро ""Тракторний…",DATE,1 травня ,85,94,1 травня 
8889,"Жахливо! Прийшла 18.01.2022...вистояла чергу близько години (була там близько 13:30), а вони витурили з кабінету, оскільки в цей день вони собі оформляли лише довідки про смерть, а сказали прийти на наступний день за апостилем, оскільки у…",DATE,18.01.2022,17,27,2022-01-18
15873,1. Заснований 4 жовтня 1875 року. Віднесений до спадщини ЮНЕСКО ! Унікальне місце України! Обов'язково побувайте!,DATE,4 жовтня 1875,14,27,1875-10-04
9365,"31.05.2025 здавала практичний іспит в даному ТСЦ. Перша спроба і вона вдала, додам ще що я не місцева, і міста практично не знаю. Іспит приймала інспектор Юлія, дуже приємна людина, команди подавались чітко і зрозуміло. Іспит пройшов на…",DATE,31.05.2025,0,10,2025-05-31
1572,Інформація станом на 14.07.2023 Індустріальна податкова…,DATE,14.07.2023,21,31,2023-07-14
10004160,"Доброго вечора! <URL> Василь Матійчук родом із с. Хімчин Косівського району Івано-Франківської області. Підтримайте земляка - підпишіть петицію про присвоєння звання Героя України Василю Матійчуку. Він загинув 08.04.2023, захищаючи Україну на Запорізькому напрямку. Ми дуже потребуємо допомогі з поширенням петиції. Присвоєння звання Героя України (посмертно) Електронні петиції - Офіційне інтернет-представництво Президента України <URL>",DATE,08.04.2023,210,220,2023-04-08
16668,Університет засновано 31 березня 1875 року. На першому поверсі на вході є статуя з приробленою головою. За розповіддю екскурсоводів це був якийсь конкурс між студентами.,DATE,31 березня 1875,22,37,1875-03-31
