text_id,label
922,Neutral Comment
10005443,Question / Request for Help
10003180,Question / Request for Help
10005316,Question / Request for Help
6169,Neutral Comment
10003418,Question / Request for Help
10002246,Question / Request for Help
3726,Neutral Comment
12979,Suggestion / Idea
8433,Complaint / Dissatisfaction
14813,Suggestion / Idea
3540,Complaint / Dissatisfaction
10004398,Question / Request for Help
13535,Suggestion / Idea
10006013,Suggestion / Idea
14884,Suggestion / Idea
7991,Gratitude / Positive Feedback
6715,Suggestion / Idea
10001640,Question / Request for Help
9216,Gratitude / Positive Feedback
6099,Neutral Comment
8899,Complaint / Dissatisfaction
2364,Gratitude / Positive Feedback
925,Neutral Comment
12504,Gratitude / Positive Feedback
12549,Gratitude / Positive Feedback
767,Complaint / Dissatisfaction
16625,Suggestion / Idea
10004480,Suggestion / Idea
202,Suggestion / Idea
3601,Gratitude / Positive Feedback
7356,Complaint / Dissatisfaction
11853,Question / Request for Help
5083,Neutral Comment
8133,Gratitude / Positive Feedback
5681,Complaint / Dissatisfaction
10002006,Question / Request for Help
14499,Neutral Comment
16550,Suggestion / Idea
317,Complaint / Dissatisfaction
9396,Gratitude / Positive Feedback
7043,Complaint / Dissatisfaction
1774,Gratitude / Positive Feedback
16022,Suggestion / Idea
3647,Gratitude / Positive Feedback
5461,Gratitude / Positive Feedback
10001804,Suggestion / Idea
10000523,Question / Request for Help
11826,Neutral Comment
14956,Suggestion / Idea
9965,Neutral Comment
14638,Suggestion / Idea
10073,Gratitude / Positive Feedback
1899,Neutral Comment
8341,Complaint / Dissatisfaction
15641,Complaint / Dissatisfaction
10000766,Question / Request for Help
3013,Complaint / Dissatisfaction
12997,Gratitude / Positive Feedback
15008,Suggestion / Idea
7384,Gratitude / Positive Feedback
1269,Complaint / Dissatisfaction
9948,Neutral Comment
4997,Gratitude / Positive Feedback
10000855,Question / Request for Help
10001996,Question / Request for Help
10003754,Question / Request for Help
10005286,Suggestion / Idea
4305,Complaint / Dissatisfaction
8142,Neutral Comment
11278,Complaint / Dissatisfaction
15840,Neutral Comment
16770,Neutral Comment
10001281,Question / Request for Help
2453,Gratitude / Positive Feedback
5575,Gratitude / Positive Feedback
10002857,Question / Request for Help
10012,Complaint / Dissatisfaction
8322,Neutral Comment
16641,Gratitude / Positive Feedback
10002392,Question / Request for Help
546,Complaint / Dissatisfaction
7872,Gratitude / Positive Feedback
16873,Complaint / Dissatisfaction
5328,Gratitude / Positive Feedback
2185,Neutral Comment
10554,Suggestion / Idea
15769,Question / Request for Help
10001953,Question / Request for Help
13892,Gratitude / Positive Feedback
10214,Gratitude / Positive Feedback
2795,Neutral Comment
14579,Neutral Comment
16541,Gratitude / Positive Feedback
10000068,Question / Request for Help
15375,Neutral Comment
10005646,Question / Request for Help
8850,Complaint / Dissatisfaction
14307,Complaint / Dissatisfaction
10001291,Suggestion / Idea
10004913,Question / Request for Help
11254,Gratitude / Positive Feedback
1986,Suggestion / Idea
3751,Gratitude / Positive Feedback
10004422,Question / Request for Help
10004744,Question / Request for Help
6767,Neutral Comment
10000774,Suggestion / Idea
8559,Complaint / Dissatisfaction
10002005,Suggestion / Idea
16103,Neutral Comment
1035,Suggestion / Idea
14951,Suggestion / Idea
930,Suggestion / Idea
1412,Complaint / Dissatisfaction
1942,Neutral Comment
11866,Complaint / Dissatisfaction
14829,Suggestion / Idea
14507,Neutral Comment
1419,Gratitude / Positive Feedback
10004214,Suggestion / Idea
13829,Neutral Comment
10003073,Question / Request for Help
12782,Gratitude / Positive Feedback
8242,Gratitude / Positive Feedback
10157,Neutral Comment
3637,Neutral Comment
8778,Neutral Comment
13195,Suggestion / Idea
14942,Suggestion / Idea
4207,Neutral Comment
14950,Suggestion / Idea
5128,Gratitude / Positive Feedback
14582,Suggestion / Idea
1572,Neutral Comment
10006,Complaint / Dissatisfaction
752,Complaint / Dissatisfaction
15844,Gratitude / Positive Feedback
7564,Complaint / Dissatisfaction
3532,Complaint / Dissatisfaction
6794,Complaint / Dissatisfaction
5444,Gratitude / Positive Feedback
13302,Question / Request for Help
12935,Gratitude / Positive Feedback
10004825,Suggestion / Idea
14840,Suggestion / Idea
14534,Suggestion / Idea
4945,Gratitude / Positive Feedback
12214,Suggestion / Idea
7203,Gratitude / Positive Feedback
10005642,Question / Request for Help
6352,Complaint / Dissatisfaction
14619,Suggestion / Idea
2886,Neutral Comment
14944,Suggestion / Idea
4213,Neutral Comment
12970,Gratitude / Positive Feedback
4578,Question / Request for Help
15439,Complaint / Dissatisfaction
15873,Suggestion / Idea
4715,Neutral Comment
9905,Question / Request for Help
10003750,Question / Request for Help
10005654,Question / Request for Help
10000090,Suggestion / Idea
10003838,Question / Request for Help
17906,Gratitude / Positive Feedback
10001247,Question / Request for Help
11768,Gratitude / Positive Feedback
8664,Gratitude / Positive Feedback
2475,Gratitude / Positive Feedback
10162,Neutral Comment
5074,Complaint / Dissatisfaction
14819,Suggestion / Idea
16431,Neutral Comment
15691,Gratitude / Positive Feedback
4173,Gratitude / Positive Feedback
13870,Gratitude / Positive Feedback
10003024,Suggestion / Idea
10002762,Question / Request for Help
15079,Neutral Comment
2729,Question / Request for Help
4939,Gratitude / Positive Feedback
11352,Neutral Comment
10004598,Suggestion / Idea
10182,Complaint / Dissatisfaction
8999,Gratitude / Positive Feedback
4912,Gratitude / Positive Feedback
10005432,Suggestion / Idea
10003452,Question / Request for Help
10496,Suggestion / Idea
14830,Suggestion / Idea
10002400,Question / Request for Help
2847,Complaint / Dissatisfaction
12186,Gratitude / Positive Feedback
16151,Neutral Comment
17666,Gratitude / Positive Feedback
11059,Gratitude / Positive Feedback
10001663,Question / Request for Help
7032,Complaint / Dissatisfaction
3010,Complaint / Dissatisfaction
6005,Neutral Comment
10002449,Question / Request for Help
15906,Neutral Comment
6333,Suggestion / Idea
1612,Neutral Comment
17936,Complaint / Dissatisfaction
16599,Suggestion / Idea
6156,Neutral Comment
10005173,Suggestion / Idea
10033,Complaint / Dissatisfaction
4587,Complaint / Dissatisfaction
14866,Suggestion / Idea
10002828,Suggestion / Idea
10004576,Question / Request for Help
1769,Gratitude / Positive Feedback
10000239,Question / Request for Help
17349,Gratitude / Positive Feedback
10005618,Suggestion / Idea
10005890,Question / Request for Help
9016,Gratitude / Positive Feedback
6336,Question / Request for Help
10003936,Suggestion / Idea
2933,Complaint / Dissatisfaction
13052,Suggestion / Idea
6725,Complaint / Dissatisfaction
8312,Neutral Comment
12055,Gratitude / Positive Feedback
10001240,Suggestion / Idea
13758,Neutral Comment
2097,Gratitude / Positive Feedback
10005224,Suggestion / Idea
7507,Neutral Comment
4574,Neutral Comment
14851,Complaint / Dissatisfaction
10556,Complaint / Dissatisfaction
12483,Gratitude / Positive Feedback
7074,Suggestion / Idea
6994,Complaint / Dissatisfaction
4860,Gratitude / Positive Feedback
12002,Complaint / Dissatisfaction
5432,Gratitude / Positive Feedback
4919,Neutral Comment
10000315,Question / Request for Help
2553,Gratitude / Positive Feedback
10798,Complaint / Dissatisfaction
11291,Neutral Comment
10901,Complaint / Dissatisfaction
15741,Complaint / Dissatisfaction
14147,Gratitude / Positive Feedback
8790,Complaint / Dissatisfaction
2939,Suggestion / Idea
3524,Question / Request for Help
10002681,Suggestion / Idea
8201,Gratitude / Positive Feedback
8338,Gratitude / Positive Feedback
980,Neutral Comment
2658,Suggestion / Idea
16561,Suggestion / Idea
6607,Complaint / Dissatisfaction
10001649,Question / Request for Help
1053,Neutral Comment
16973,Complaint / Dissatisfaction
3912,Gratitude / Positive Feedback
847,Gratitude / Positive Feedback
10003379,Suggestion / Idea
10002297,Question / Request for Help
17425,Gratitude / Positive Feedback
10004733,Question / Request for Help
4936,Gratitude / Positive Feedback
16523,Neutral Comment
5976,Complaint / Dissatisfaction
16487,Suggestion / Idea
1429,Gratitude / Positive Feedback
10002544,Neutral Comment
4615,Complaint / Dissatisfaction
11657,Complaint / Dissatisfaction
10006015,Question / Request for Help
6575,Complaint / Dissatisfaction
10005128,Question / Request for Help
5663,Neutral Comment
10005631,Question / Request for Help
8631,Gratitude / Positive Feedback
13965,Gratitude / Positive Feedback
9365,Gratitude / Positive Feedback
10003184,Question / Request for Help
16082,Gratitude / Positive Feedback
8305,Neutral Comment
15566,Gratitude / Positive Feedback
14870,Suggestion / Idea
16669,Suggestion / Idea
10002513,Question / Request for Help
674,Neutral Comment
14539,Neutral Comment
12248,Gratitude / Positive Feedback
15475,Neutral Comment
11360,Suggestion / Idea
10133,Neutral Comment
104,Complaint / Dissatisfaction
7326,Complaint / Dissatisfaction
1402,Neutral Comment
10975,Neutral Comment
16695,Neutral Comment
7083,Neutral Comment
10004679,Question / Request for Help
10002564,Suggestion / Idea
11148,Gratitude / Positive Feedback
16781,Neutral Comment
15030,Suggestion / Idea
2333,Neutral Comment
3229,Neutral Comment
15712,Neutral Comment
16920,Neutral Comment
8584,Question / Request for Help
10159,Neutral Comment
2597,Neutral Comment
13996,Gratitude / Positive Feedback
17008,Gratitude / Positive Feedback
10001166,Question / Request for Help
2403,Gratitude / Positive Feedback
8802,Complaint / Dissatisfaction
2424,Complaint / Dissatisfaction
13920,Gratitude / Positive Feedback
10398,Question / Request for Help
10002079,Question / Request for Help
15830,Neutral Comment
1399,Gratitude / Positive Feedback
2949,Neutral Comment
10003734,Question / Request for Help
6378,Complaint / Dissatisfaction
10005207,Question / Request for Help
3228,Gratitude / Positive Feedback
10000956,Question / Request for Help
820,Question / Request for Help
16594,Complaint / Dissatisfaction
2542,Gratitude / Positive Feedback
14,Question / Request for Help
1196,Neutral Comment
10001927,Suggestion / Idea
5265,Neutral Comment
15620,Neutral Comment
10923,Neutral Comment
8363,Complaint / Dissatisfaction
9531,Complaint / Dissatisfaction
12405,Gratitude / Positive Feedback
5137,Neutral Comment
12,Neutral Comment
10000863,Suggestion / Idea
8163,Complaint / Dissatisfaction
10003000,Suggestion / Idea
11459,Complaint / Dissatisfaction
8804,Gratitude / Positive Feedback
14979,Suggestion / Idea
8360,Complaint / Dissatisfaction
13116,Gratitude / Positive Feedback
3578,Complaint / Dissatisfaction
14500,Gratitude / Positive Feedback
6768,Neutral Comment
2361,Gratitude / Positive Feedback
584,Complaint / Dissatisfaction
14545,Neutral Comment
13761,Neutral Comment
8879,Complaint / Dissatisfaction
3099,Neutral Comment
7115,Complaint / Dissatisfaction
6650,Complaint / Dissatisfaction
10003723,Question / Request for Help
15443,Complaint / Dissatisfaction
7874,Gratitude / Positive Feedback
10002480,Suggestion / Idea
1465,Complaint / Dissatisfaction
10001644,Question / Request for Help
1975,Complaint / Dissatisfaction
3825,Complaint / Dissatisfaction
5978,Complaint / Dissatisfaction
10003627,Question / Request for Help
4172,Neutral Comment
347,Complaint / Dissatisfaction
7173,Suggestion / Idea
14841,Suggestion / Idea
16189,Gratitude / Positive Feedback
11356,Complaint / Dissatisfaction
7318,Question / Request for Help
12100,Gratitude / Positive Feedback
15012,Gratitude / Positive Feedback
2360,Suggestion / Idea
1556,Neutral Comment
7432,Complaint / Dissatisfaction
1871,Suggestion / Idea
2637,Question / Request for Help
7039,Complaint / Dissatisfaction
642,Complaint / Dissatisfaction
2617,Question / Request for Help
6900,Complaint / Dissatisfaction
14872,Neutral Comment
8115,Complaint / Dissatisfaction
11219,Neutral Comment
5158,Neutral Comment
10002238,Question / Request for Help
16232,Suggestion / Idea
